factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr,lineage_hash,orientation,threshold_q95,components,weights,positive_selection_folds,worst_selection_fold_return,positive_selection_years,top_one_selection_profit_share,top_five_selection_profit_share,development_candidate,historically_stable_candidate,core_candidate,tier,mechanism,input_fields,latest_availability
BTC_LONG_290035753dfa1e36_2d,197870,2d,5.0,97,4,49.21206078208635,0.000473551023042,78,58.27770240995518,0.5827202035179224,1.3692339957065356,-0.1968634041617473,2.9600229966517633,97.03172747209548,0.0078339455484284,305,88.41369047619048,0.3008238946751747,0.8620335359045618,-0.2629724632084667,1.143936863217127,43.29567783790247,1.5171100921968979,0.3008238946751747,290035753dfa1e36,1,1.1970735788345337,tanh(m1_flow_surprise_60)|(x_flow_mean_72*x_return_efficiency_12),0.5|1,5,-0.12656436649328368,3,0.03771923363654645,0.15129628979174414,True,True,False,历史稳定,主动流与价格响应,m1_flow_surprise_60|x_flow_mean_72|x_return_efficiency_12,m1_feature_available_time <= decision_time
BTC_LONG_301412f1a92aaecd_3d,232167,3d,5.0,99,3,-349.2051352852715,0.0781725370316949,35,26.150251081390145,2.1372278900397705,2.742689014909987,-0.1720943816680188,12.418928900088217,478.87607192110926,0.0368050126330336,113,32.756547619047616,0.2990487114468381,1.0647435006420298,-0.3347703726144221,0.8932950341793624,96.73941418357872,1.2526284171075837,0.2990487114468381,301412f1a92aaecd,-1,1.5869884490966797,tanh(x_return_sign_bias_72)|(x_flow_autocorr_3*m1_return_efficiency_15)|(x_flow_mean_72*m1_return_sum_15)|(x_flow_std_72*x_return_sum_288),-1|-0.5|-0.5|-0.5,6,-0.2685854891643021,3,0.056917570931769856,0.23207450499551666,True,True,False,历史稳定,主动流与价格响应,m1_return_efficiency_15|m1_return_sum_15|x_flow_autocorr_3|x_flow_mean_72|x_flow_std_72|x_return_sign_bias_72|x_return_sum_288,m1_feature_available_time <= decision_time
BTC_LONG_4a707af33475c4b3_12h,360136,12h,5.0,95,4,20.771863709141545,0.0343971357823413,152,113.56680469632292,1.173145571882393,2.4998581473672803,-0.1334092468949995,8.793585146355888,78.06544942574351,0.0100009101594772,575,166.68154761904762,0.2983122402345866,0.97748555963298,-0.3634550021570473,0.8207680138233101,23.60393429535233,1.467696023188759,0.2983122402345866,4a707af33475c4b3,1,1.220116376876831,tanh(x_downside_share_288)|tanh(x_range_position_curve_3_12)|signed_sqrt(x_return_sum_288),-1|1|-0.5,6,-0.19847585906881027,3,0.025517960080601195,0.10305520922900747,True,True,False,历史稳定,有符号波动与区间扩张,x_downside_share_288|x_range_position_curve_3_12|x_return_sum_288,m1_feature_available_time <= decision_time
BTC_LONG_9bf33e9f6e490f1f_2d,755312,2d,5.0,95,4,28.529569869087812,0.0528719492639197,66,49.31190203919285,0.6535536979584553,1.5417638156531792,-0.2409785616269616,2.7120823261040377,120.40293348414184,0.0022651851255363,307,88.99345238095238,0.2981474329948912,0.8585008558233245,-0.3345829853983032,0.8911015981280774,42.881122817776806,1.8047053287504673,0.2981474329948912,9bf33e9f6e490f1f,1,1.3292818069458008,x_flow_mean_curve_72_288|tanh(m1_volume_concentration_240)|(x_flow_std_72*x_close_location),0.5|-0.5|1,5,-0.04963289517845104,3,0.030647829633198145,0.13559891768553445,True,True,False,历史稳定,成交重心与区间位置,m1_volume_concentration_240|x_close_location|x_flow_mean_curve_72_288|x_flow_std_72,m1_feature_available_time <= decision_time
BTC_LONG_3d382c6b95774870_12h,295883,12h,5.0,97,3,-49.09530220173319,0.0753024514737958,103,76.95645318237672,0.7378770919767621,1.7170126599029758,-0.1491623507544754,4.946805197454444,85.12134659076042,0.0333536542538514,397,115.0827380952381,0.2972037095815356,1.191017347968481,-0.1914276599494329,1.552564084312812,30.151503173916925,1.4954267424787246,0.2972037095815356,3d382c6b95774870,1,3.3032336235046387,x_return_sum_288|tanh(m1_body_mean_240)|signed_sqrt(x_flow_price_gap)|(x_flow_sign_bias_3*m1_return_efficiency_5),-1|1|1|-1,7,0.011262454527331437,4,0.028017112563252768,0.12516481689177872,True,True,True,核心,主动流与价格响应,m1_body_mean_240|m1_return_efficiency_5|x_flow_price_gap|x_flow_sign_bias_3|x_return_sum_288,m1_feature_available_time <= decision_time
BTC_LONG_112acbae6242f1c5_1d,83060,1d,5.0,97,4,79.33889247892239,0.0606269888557066,110,82.18650339865475,1.80439543727659,2.4679516782724913,-0.1749034534746,10.31652263823727,142.67456187803973,0.0449457362872074,321,93.05178571428571,0.2966412795112518,0.9195572197949226,-0.3694642764711748,0.8028957017022874,39.4261984554948,1.1322027567340067,0.2966412795112518,112acbae6242f1c5,-1,2.39220666885376,m1_range_mean_240|(x_flow_std_3*x_return_sum_72)|(x_flow_autocorr_3*x_return_efficiency_curve_72_288)|(x_base_quote_flow_gap*x_trade_surprise_12),-0.5|-0.5|-1|-0.5,6,-0.20082053158661917,3,0.03368861444819166,0.13972485937800816,True,True,False,历史稳定,主动流与价格响应,m1_range_mean_240|x_base_quote_flow_gap|x_flow_autocorr_3|x_flow_std_3|x_return_efficiency_curve_72_288|x_return_sum_72|x_trade_surprise_12,m1_feature_available_time <= decision_time
BTC_LONG_7e8a41a51ae079da_3d,612605,3d,5.0,97,3,-128.8999204404355,0.0001872674419526,51,38.10465157573993,0.7705131600629627,1.8011522935668376,-0.2424995273029054,3.1773800494898157,170.53333904661804,0.0047888867085114,162,46.96071428571428,0.2840633521069109,0.8476306864765472,-0.2955894846904023,0.961006283442174,73.71110183619422,1.2324142156862743,0.2840633521069109,7e8a41a51ae079da,-1,2.0768308639526367,x_return_efficiency_72|(x_flow_std_3*x_return_efficiency_288)|(x_flow_std_72*x_return_efficiency_curve_12_72)|(x_flow_return_corr_72*x_return_efficiency_72),-0.5|-0.5|-0.5|1,7,0.020909882775898836,3,0.04642854148113817,0.18110432273852622,True,True,True,核心,主动流与价格响应,x_flow_return_corr_72|x_flow_std_3|x_flow_std_72|x_return_efficiency_288|x_return_efficiency_72|x_return_efficiency_curve_12_72,m1_feature_available_time <= decision_time
BTC_LONG_618010b07f5aeded_2d,471852,2d,5.0,97,3,-25.686885376901056,0.0138266164668103,34,25.403101050493284,0.340231353717034,1.2286032761832868,-0.1705962575067876,1.994365871147537,133.67332930129376,0.0320160310894107,233,67.5422619047619,0.2760809322279198,0.8596577982565892,-0.3266263675907052,0.8452499847589656,50.2080365227723,2.6588195579157587,0.2760809322279198,618010b07f5aeded,-1,1.1635422706604004,m1_flow_mean_60|signed_sqrt(x_vwap_pressure_288),-0.5|0.5,7,0.014433480910144403,2,0.06568332197025564,0.20446190954097504,True,True,False,历史稳定,成交重心与区间位置,m1_flow_mean_60|x_vwap_pressure_288,m1_feature_available_time <= decision_time
BTC_LONG_a1079e0a77d7f501_3d,780052,3d,5.0,97,4,93.02634585503486,0.0328899928728159,36,26.897401112287007,1.238405463428912,1.8482069731020192,-0.218821604682212,5.659429585243243,348.72133502435787,0.0035487877809495,99,28.69821428571429,0.2760446271072421,0.9615206562448124,-0.291260932598138,0.9477571353110704,105.50767503890954,1.0669511959876545,0.2760446271072421,a1079e0a77d7f501,-1,5.85706901550293,signed_sqrt(x_flow_mean_curve_3_12)|(x_flow_std_72*x_return_sum_288)|(x_flow_autocorr_72*x_return_sum_288)|(x_impact_per_flow_72*x_return_sum_72),0.5|-0.5|1|-0.5,6,-0.07496512909305575,3,0.07750847596959513,0.2606514055578407,True,True,True,核心,单位主动流冲击,x_flow_autocorr_72|x_flow_mean_curve_3_12|x_flow_std_72|x_impact_per_flow_72|x_return_sum_288|x_return_sum_72,m1_feature_available_time <= decision_time
BTC_LONG_bc16b6bea9830967_2d,911643,2d,5.0,99,3,120.48732037081577,0.0313605917484364,19,14.195850587040365,0.5104652284956286,2.1507264768456067,-0.0574115857512332,8.891327801107863,309.0781929524322,0.0126332310287025,91,26.379166666666663,0.2751127597259106,1.3548171454183848,-0.1477252410142069,1.862327370983627,103.9113102392814,1.8582307910981153,0.2751127597259106,bc16b6bea9830967,-1,1.2501596212387085,tanh(x_flow_sign_bias_288)|signed_sqrt(x_return_efficiency_12),-1|-0.5,6,-0.03301662632080443,3,0.07413811405076287,0.3222582743252994,True,True,True,核心,主动流与价格响应,x_flow_sign_bias_288|x_return_efficiency_12,m1_feature_available_time <= decision_time
BTC_LONG_110acf71418c051c_1d,82482,1d,5.0,95,4,8.78116805587198,0.0803586205523851,129,96.3823539856951,0.7987137613197421,1.5968179041233974,-0.1625364561273777,4.914059161556963,75.10525281153515,0.0059920946179301,391,113.3434523809524,0.2601030637256787,0.9134624146215166,-0.3608693732558529,0.7207679093932644,29.418543740731057,1.1759772167193034,0.2601030637256787,110acf71418c051c,1,1.8566266298294067,x_flow_return_corr_curve_72_288|tanh(x_return_sign_bias_3)|tanh(x_flow_mean_curve_72_288)|signed_sqrt(x_time_sin_week),0.5|-1|1|0.5,5,-0.24435792746452162,2,0.02530319189808526,0.10697959268205563,True,True,False,历史稳定,主动流与价格响应,x_flow_mean_curve_72_288|x_flow_return_corr_curve_72_288|x_return_sign_bias_3|x_time_sin_week,m1_feature_available_time <= decision_time
BTC_LONG_7f23a3dead14afdf_1d,615492,1d,5.0,99,3,-76.9720080127535,0.0680270257153769,39,29.13885120497759,0.2979079510808162,1.0337497549431531,-0.224258358941365,1.3284140332031402,109.1949721208214,0.0326457300257588,83,24.060119047619047,0.2600094182152548,1.4120004528653876,-0.1254551663261904,2.072528583950188,107.28041512383088,0.8257058206710984,0.2600094182152548,7f23a3dead14afdf,1,2.855231523513794,x_return_sum_288|m1_vwap_gap_mean_240|signed_sqrt(m1_return_autocorr_15)|(x_flow_mean_72*m1_vwap_gap_mean_15),-0.5|0.5|1|-1,6,-3.3380173327324236e-05,4,0.06981122831940237,0.2520998230289277,True,True,False,历史稳定,成交重心与区间位置,m1_return_autocorr_15|m1_vwap_gap_mean_15|m1_vwap_gap_mean_240|x_flow_mean_72|x_return_sum_288,m1_feature_available_time <= decision_time
BTC_LONG_6acdbb3b70568efb_1d,516901,1d,5.0,97,4,31.64645189946615,0.0604471041178426,87,65.00205268802694,0.7563026573693159,1.823163894398633,-0.153423404933377,4.929512923388284,100.41892240516547,1.4829935830870324e-05,351,101.74821428571428,0.2595028969902586,0.8819221702566857,-0.2317829017126369,1.1195946511705543,32.58689656176985,1.5653077107279691,0.2595028969902586,6acdbb3b70568efb,-1,1.0800756216049194,m1_return_efficiency_60|m1_range_mean_60|tanh(m1_volume_surprise_curve_5_15)|signed_sqrt(m1_range_mean_15),-0.5|-0.5|-0.5|0.5,7,0.06247425033871118,4,0.03909387780990499,0.14425681924131217,True,True,True,核心,成交活跃度突变,m1_range_mean_15|m1_range_mean_60|m1_return_efficiency_60|m1_volume_surprise_curve_5_15,m1_feature_available_time <= decision_time
BTC_LONG_25e9a00db8b7a09a_3d,183122,3d,5.0,99,3,-66.32275407626993,0.0483804603171669,27,20.173050834215257,0.5703380081392662,1.785961138190064,-0.1522908347513104,3.7450579942688145,246.3535633751687,0.0163503830412601,110,31.886904761904763,0.2567065765324681,0.976960601473345,-0.3617393422736263,0.7096451685874147,88.29193185533626,1.5806684385002285,0.2567065765324681,25e9a00db8b7a09a,1,2.160400152206421,x_flow_autocorr_72|x_flow_sign_bias_288|tanh(x_return_efficiency_curve_72_288)|(x_flow_autocorr_12*x_return_efficiency_3),0.5|1|-1|0.5,6,-0.23684929246112757,4,0.05896571856900223,0.23905764563303927,True,True,False,历史稳定,主动流与价格响应,x_flow_autocorr_12|x_flow_autocorr_72|x_flow_sign_bias_288|x_return_efficiency_3|x_return_efficiency_curve_72_288,m1_feature_available_time <= decision_time
BTC_LONG_25b726f17bdbc7e5_3d,182174,3d,5.0,95,3,-91.9006907271238,0.0150854573433686,73,54.541952255470875,1.0571372183291787,1.728996011140598,-0.3037546987471601,3.4802333023632355,158.80155641716027,0.0022013681605237,263,76.23869047619047,0.2545902076675546,0.7293244214855693,-0.4285132898278531,0.5941244150673396,47.9707893983773,1.39779907618806,0.2545902076675546,25b726f17bdbc7e5,1,1.9590122699737549,(x_flow_mean_72*x_wick_asymmetry)|(x_flow_mean_72*x_return_sum_72)|(x_flow_return_corr_12*x_jump_concentration_3)|(x_flow_std_72*x_trade_surprise_3),-1|0.5|-0.5|0.5,6,-0.36444153318786243,3,0.03881452739397755,0.14408946531398406,True,True,False,历史稳定,主动流与价格响应,x_flow_mean_72|x_flow_return_corr_12|x_flow_std_72|x_jump_concentration_3|x_return_sum_72|x_trade_surprise_3|x_wick_asymmetry,m1_feature_available_time <= decision_time
BTC_LONG_21f85655a3d4dbed_2d,164212,2d,5.0,99,4,78.94824442362503,0.0313946799888844,27,20.173050834215257,0.6083919714815298,1.351291601824399,-0.2368538653159934,2.568638559771262,279.1116881922287,0.038240885113743,90,26.089285714285715,0.2498101609692786,1.000404770385311,-0.2669665395673304,0.935735846799914,102.76768340634176,1.2932741769547325,0.2498101609692786,21f85655a3d4dbed,1,3.1446328163146973,x_flow_autocorr_288|m1_flow_std_5|tanh(x_flow_sign_bias_72)|(x_flow_autocorr_72*x_return_sum_72),0.5|-1|1|-1,5,-0.032692600145431905,3,0.0876069497390902,0.3164293808906297,True,True,False,历史稳定,主动流持续与反转,m1_flow_std_5|x_flow_autocorr_288|x_flow_autocorr_72|x_flow_sign_bias_72|x_return_sum_72,m1_feature_available_time <= decision_time
