factor_id,2022,2023,2024,2025
BTC_LONG_aad29e2812bcd407_2d,0.12818473770358696,1.1386087409656462,1.6208331683800656,0.0682653848909276
BTC_LONG_8a7646dc5ccbd0f9_1d,0.6400612412048006,0.4661221668996054,0.6965889550118125,0.09965528050559591
BTC_LONG_a18389afb4e8507e_2d,0.8701980434814252,0.4178897739497025,0.4735057670632479,0.14785533302513776
BTC_LONG_774a2fa3bbfb3bcf_3d,-0.22605320958154185,1.4843568445441493,0.49924442598468977,0.5176934780272529
BTC_LONG_a67a467959c6c593_2d,0.3281704592582735,1.1652907245641044,0.5877987112393086,-0.04806056511526147
BTC_LONG_69d7c8d06b8ae442_3d,0.5688223804560526,1.6415422536280553,-0.0402108889121181,0.08471902935828823
BTC_LONG_18736382b197243b_3d,0.26200505665667717,0.8038235833392231,0.2320017061198243,0.47706761346283466
BTC_LONG_6e133e86c2c01d4b_3d,0.40004901618464617,0.9653278234215492,0.3553400321896121,0.06295758992328326
BTC_LONG_bc8cc20c800b4673_3d,0.8942675206966009,0.25286983585689105,0.4227427591459343,0.11360723750198942
BTC_LONG_5740defe528d6e16_2d,0.3015140941403691,0.5667921978030857,0.9843504033419517,-0.09313798627708092
BTC_LONG_022fc44040f52195_3d,0.3251762309723736,0.42281575076580524,0.37618200211765207,0.4091083531420565
BTC_LONG_a800262f87cb7ffd_3d,0.8062749001312739,0.5875803031364983,0.06231649891733482,0.1945052434350405
BTC_LONG_665a553ed9e4f0c9_3d,0.4455446623033117,1.1333729322338906,0.17671082877171185,-0.04667000976119584
BTC_LONG_a7a53d44b1d1b10b_2d,0.24338573955077214,0.6354807341446664,0.9037966221368554,-0.11876091071793149
BTC_LONG_32790d4266a3dbf2_2d,-0.11890907892884661,0.3481594133256436,1.314785191695238,0.20825498392899644
BTC_LONG_81c364516a41a911_2d,-0.11184454374527109,1.0665557986231509,0.5781080593713397,0.1352344665702221
BTC_LONG_7fefaf095239c223_12h,0.4566695538293617,0.08017987189041498,0.7225896219298957,0.20003393204434206
BTC_LONG_ad3c541b70ce7c4c_3d,0.29749469543588525,0.7545607436835096,0.6156866275151311,-0.15717543003647994
BTC_LONG_6e6fadb75ad48781_2d,0.03843851272725063,0.7533352153491102,0.26378021745900737,0.3379692062631441
BTC_LONG_978f94cff6100d1d_2d,-0.2311610343770072,0.5066959415394747,0.8880563789471041,0.5028681691942805
BTC_LONG_5d47cc6741d7c67e_2d,-0.03573304954151646,0.867044363363713,0.422015166598398,0.19586343057140998
BTC_LONG_986eab606b120088_2d,0.6559486422401006,0.35351919745831006,0.43845976885080784,-0.05937874805061183
BTC_LONG_3ebd17aa694e737f_3d,0.14461030486245763,0.4691755891523264,0.2864007399700905,0.5133770431109907
BTC_LONG_8f4cb2e57d3d016e_3d,0.09662749254748593,0.1702808214734579,0.5845298487461774,0.4809381105752042
BTC_LONG_9d731ebe50ebbe65_3d,0.031048141143609875,0.6569499765032847,0.4922862376988488,0.10891039618079268
BTC_LONG_53f081fb7aa13377_3d,0.6790348204426762,-0.24535072462829866,0.8985683838874183,0.1615794938904611
BTC_LONG_13ea5183446add0e_3d,-0.21094126989902195,1.6194148870723986,0.2187691113906669,0.0996446439441605
BTC_LONG_546aae11ff7d6499_2d,0.3181044762166989,0.18921894674098727,0.46109968859493433,0.20832206601199932
BTC_LONG_6360988c96987bed_2d,0.011988724357599345,0.6775945963013021,0.23501306807042788,0.3131630034176489
BTC_LONG_3cd945806cc1e41e_2d,0.4039864904878354,0.465178705655805,-0.012675553060215616,0.3525954939464966
BTC_LONG_ac1d6d98aba0a2cd_2d,0.3035531530777318,0.78983748732926,0.20758206710880533,-0.029466808070025552
BTC_LONG_149214ecb27245d8_2d,0.2164485857518752,0.35246558577321974,0.22601472856040927,0.32226884733029704
BTC_LONG_290035753dfa1e36_2d,0.2606283140612149,0.8520580097153465,0.19774943722855265,-0.11404625825084458
BTC_LONG_301412f1a92aaecd_3d,-0.26341380005853765,0.41786304065236,1.1878585524487733,0.07918439627789708
BTC_LONG_4a707af33475c4b3_12h,-0.16699634226051352,0.475603561046672,0.7415264570051048,0.16827226724325572
BTC_LONG_9bf33e9f6e490f1f_2d,0.6538187512992266,0.26012937000953174,0.2885017214858854,-0.08389572086202934
BTC_LONG_3d382c6b95774870_12h,0.18620117899302602,0.14823192058862333,0.5448693524176373,0.14563598489160046
BTC_LONG_112acbae6242f1c5_1d,-0.040170667628830814,0.38470969391926024,0.3398026644635326,0.3759419867634721
BTC_LONG_7e8a41a51ae079da_3d,0.3297780730036588,0.32845096373711713,0.3921703088393491,-0.03667518445011808
BTC_LONG_618010b07f5aeded_2d,0.19791195944404794,1.0079297070240658,-0.008898443907001896,-0.027352037524610795
BTC_LONG_a1079e0a77d7f501_3d,-0.06068981099642401,0.33462005880157863,0.4318591368439024,0.291628574630143
BTC_LONG_bc16b6bea9830967_2d,0.5535830907131605,0.3334327249354134,0.12206248892144922,-0.005081532207384165
BTC_LONG_110acf71418c051c_1d,0.5925071021844479,0.750949277540871,-0.024750334858626655,-0.18360703474381568
BTC_LONG_7f23a3dead14afdf_1d,0.02489766450505093,0.11600571892859524,0.47453638132331144,0.31600108769346136
BTC_LONG_6acdbb3b70568efb_1d,0.2142937665603224,0.32433344271905273,0.19781127935791032,0.15065933930607933
BTC_LONG_25e9a00db8b7a09a_3d,0.05309242526717095,0.22678110393275275,0.4206681395313412,0.1983954192045443
BTC_LONG_25b726f17bdbc7e5_3d,-0.31159409461337184,0.665346835609739,0.5964803756301382,0.19478104844041577
BTC_LONG_21f85655a3d4dbed_2d,0.05672993634847234,0.37035508797714867,0.49271165187196786,-0.0015895971871066061
BTC_LONG_66839828a010ad14_1d,-0.23975707343379338,0.37305583816773025,0.8482924497293047,0.11286296491432557
BTC_LONG_c1626e74d2f236cc_2d,0.22535830052564831,-0.04904166374669883,0.9833476589454573,-0.07542816582694267
BTC_LONG_3872f77e98ff3b88_1d,0.25335075108093874,0.1680083706894835,0.22041978422275732,0.18318083407825392
BTC_LONG_3327ddfbab14e535_1d,0.11715942278258318,0.1710177304717062,0.16998869868063182,0.34518285019014394
BTC_LONG_25abe5371fffe146_3d,0.144067851139287,0.34907954681661413,0.18073157018272767,0.1286702208281636
BTC_LONG_234317c3f71f1454_2d,0.3069879294606601,0.19141508707988852,0.16036570333687905,0.1285005788732323
BTC_LONG_54c24918a2d046b4_2d,-0.04126366631496092,0.7988396160442364,0.12614406342319562,0.03449154400776888
BTC_LONG_ac6867f81c702dfd_1d,0.029375979310640288,0.11974369391018391,0.16457771216767525,0.4816210412300672
BTC_LONG_c5f939c61dde6693_1d,0.028807165520763345,0.317085918140092,0.27238309598951194,0.14912868950134617
BTC_LONG_6d14459a98f6eceb_2d,0.09915654479020564,-0.09521417016522049,0.7373247211042948,0.13903248155848602
BTC_LONG_5b55989455e686eb_2d,0.28926157207647707,0.044041872272963856,0.26829909416201314,0.13189048474983878
BTC_LONG_0777fdef3d9cb3fe_2d,0.0684707449254216,0.39965995365720186,0.1151420121693354,0.1460665333373199
BTC_LONG_09ea97ee62d22743_2d,-0.03825313914774264,0.1718035345691713,0.26160123515271394,0.33281744597866925
BTC_LONG_00496e0a18c5c27f_12h,0.1674456024694677,0.019094215092140487,0.20838923556921873,0.30230622579373123
BTC_LONG_8c198db3ea178cb2_2d,0.6306452300591889,0.5351321146746122,-0.07681794295195532,-0.18466632962880714
BTC_LONG_5fcd25c8e6a72764_2d,0.1528244506609202,0.6886786047196121,0.028055755525455917,-0.07263343250420018
BTC_LONG_a7dad690be812564_3d,-0.0947140392712098,0.5486192867315871,0.44548039315787213,-0.09628671955617074
BTC_LONG_1a18cc95e5440427_1d,0.02718705405805588,0.07405851007564568,0.3380724007676317,0.2401005645871641
BTC_LONG_9044a6d8eaac417b_1d,-0.15232496226839087,0.3026146963187375,0.4122078502169382,0.17378904105588844
BTC_LONG_3c323377de3e4078_3d,-0.015976627830294632,0.38982980112060805,0.18088794619864323,0.12436631783217633
BTC_LONG_7633d7a44ab2b4b5_3d,-0.09823325774844449,0.6719954199229359,0.09882556429030864,0.06148939295352607
BTC_LONG_8d4a1327987b861e_12h,0.18791028425427214,0.0041369268808062465,0.34453197440763783,0.08936290942286496
BTC_LONG_b69cfade287b0e6b_12h,0.13087424576467344,0.015368540111150741,0.2799698813687945,0.1727251026716401
BTC_LONG_27cd54206caf7f3f_3d,0.3561876196134952,0.37634009583903416,-0.12126967854711435,0.05382829174108417
BTC_LONG_721f882d099afd18_3d,-0.32711262026367627,0.5224644885892331,0.7490880924072698,-0.03559782250274812
BTC_LONG_94dd72fe1d374b6a_12h,0.47736495254738975,0.3930921061952479,0.1652720831526544,-0.28501942230221067
BTC_LONG_8a84f7adec6f2c5d_12h,0.1776573755767985,0.15342992904309405,-0.13389734519402874,0.44563275532373003
BTC_LONG_044d4841e5e18788_2d,0.17542440524076186,-0.02640267660661033,0.23964919017862552,0.20169931215344405
BTC_LONG_b16e26d3230fb605_1d,-0.17484473110504883,0.5255084205947471,0.29548967021631034,0.04412834659968201
BTC_LONG_8d967f7e7ca4eab1_2d,-0.32183178636223464,0.2973877913846814,0.6314835175736151,0.18271429596102595
BTC_LONG_3fc88102a54ee0ad_12h,0.22230462464793943,0.4738904211099153,0.05160770183498031,-0.10444417962806107
BTC_LONG_68a3d0b0c63c3b13_2d,-0.21099456905681113,0.4977066491842064,0.3719966937272441,0.04572092983784937
BTC_LONG_82eb18af626016be_12h,0.34108967701517434,0.012627187525358963,0.3664367815755172,-0.0856875323521129
BTC_LONG_0fd6615935a42929_12h,-0.18447497510203015,0.21255162890595858,0.13642383255881718,0.4866368285422482
BTC_LONG_a92d11c420091618_3d,-0.00897094233092488,0.37166932767833893,0.03795899437249828,0.17076824493062337
BTC_LONG_3bf312a1be80dfa7_1d,-0.10789201109626012,0.8476799002190671,-0.000368462521521673,-0.002439667464496753
BTC_LONG_ac861e14bae89319_1d,0.21376180487179952,0.05402756801082531,0.31446476416416247,-0.03274443240047775
BTC_LONG_06bafab89a238836_12h,-0.09238367410611426,0.07412720317085597,0.3442223408762355,0.24580566712022467
BTC_LONG_a864e0a32e9d3bfb_2d,0.37609896995410574,0.15444390654270856,0.003254731909718034,0.01470615325257385
BTC_LONG_0c7f2f1a3357a313_2d,0.23448576999370996,0.036643804265005686,0.2609041539282395,-0.00887298325892083
BTC_LONG_845287272ef90cce_1d,0.1204865078226749,0.2788151397101961,0.15920865210964275,-0.04727794022637266
BTC_LONG_7959fffc20283c3d_3d,-0.16761499593510487,0.28420284173294696,0.07420701411610775,0.35789126143241656
BTC_LONG_19ec377e06899c5b_2d,0.34386649194846997,-0.10089118465413227,0.5389699636882797,-0.16336505001760815
BTC_LONG_724dd62221db474d_1d,0.20627564921261232,0.4255318149444487,-0.1065988583807842,0.012482703379201654
BTC_LONG_b7542b0106e09467_1d,0.0517435085406841,0.343258743802191,-0.04645542859482865,0.15374828252706618
BTC_LONG_6e2a45b1c1f2f36d_2d,-0.3232231466029851,0.7432016871299372,0.12322154436161381,0.17041932683089311
BTC_LONG_a5c815ef1d70fee7_12h,0.022766294582833746,0.3627217280067192,-0.012219003796652306,0.12715170420543065
BTC_LONG_225799ddff2477d1_12h,0.2117578581874211,0.16540262509229597,-0.044897052430355355,0.1313667884846077
BTC_LONG_39c4aa3f69b92e78_1d,0.31720064745429655,0.02739340382345068,0.02675811882675072,0.1057371413226238
BTC_LONG_6e5a22a16dafcf43_12h,0.04591363462309617,0.4639493760489273,-0.08689587741728111,0.09721207916384178
BTC_LONG_023dd7bb9d6ce9ce_2d,-0.1693547238914198,0.4014044311169016,0.06981276001418046,0.23208438281954735
BTC_LONG_4a5320eb6a3bcada_1d,-0.09147805778039308,0.1230957013020999,0.3904135317778368,0.08053586818788427
