factor_id,BTC_LONG_00496e0a18c5c27f_12h,BTC_LONG_022fc44040f52195_3d,BTC_LONG_023dd7bb9d6ce9ce_2d,BTC_LONG_044d4841e5e18788_2d,BTC_LONG_06bafab89a238836_12h,BTC_LONG_0777fdef3d9cb3fe_2d,BTC_LONG_09ea97ee62d22743_2d,BTC_LONG_0c7f2f1a3357a313_2d,BTC_LONG_0fd6615935a42929_12h,BTC_LONG_110acf71418c051c_1d,BTC_LONG_112acbae6242f1c5_1d,BTC_LONG_13ea5183446add0e_3d,BTC_LONG_149214ecb27245d8_2d,BTC_LONG_18736382b197243b_3d,BTC_LONG_19ec377e06899c5b_2d,BTC_LONG_1a18cc95e5440427_1d,BTC_LONG_21f85655a3d4dbed_2d,BTC_LONG_225799ddff2477d1_12h,BTC_LONG_234317c3f71f1454_2d,BTC_LONG_25abe5371fffe146_3d,BTC_LONG_25b726f17bdbc7e5_3d,BTC_LONG_25e9a00db8b7a09a_3d,BTC_LONG_27cd54206caf7f3f_3d,BTC_LONG_290035753dfa1e36_2d,BTC_LONG_301412f1a92aaecd_3d,BTC_LONG_32790d4266a3dbf2_2d,BTC_LONG_3327ddfbab14e535_1d,BTC_LONG_3872f77e98ff3b88_1d,BTC_LONG_39c4aa3f69b92e78_1d,BTC_LONG_3bf312a1be80dfa7_1d,BTC_LONG_3c323377de3e4078_3d,BTC_LONG_3cd945806cc1e41e_2d,BTC_LONG_3d382c6b95774870_12h,BTC_LONG_3ebd17aa694e737f_3d,BTC_LONG_3fc88102a54ee0ad_12h,BTC_LONG_4a5320eb6a3bcada_1d,BTC_LONG_4a707af33475c4b3_12h,BTC_LONG_53f081fb7aa13377_3d,BTC_LONG_546aae11ff7d6499_2d,BTC_LONG_54c24918a2d046b4_2d,BTC_LONG_5740defe528d6e16_2d,BTC_LONG_5b55989455e686eb_2d,BTC_LONG_5d47cc6741d7c67e_2d,BTC_LONG_5fcd25c8e6a72764_2d,BTC_LONG_618010b07f5aeded_2d,BTC_LONG_6360988c96987bed_2d,BTC_LONG_665a553ed9e4f0c9_3d,BTC_LONG_66839828a010ad14_1d,BTC_LONG_68a3d0b0c63c3b13_2d,BTC_LONG_69d7c8d06b8ae442_3d,BTC_LONG_6acdbb3b70568efb_1d,BTC_LONG_6d14459a98f6eceb_2d,BTC_LONG_6e133e86c2c01d4b_3d,BTC_LONG_6e2a45b1c1f2f36d_2d,BTC_LONG_6e5a22a16dafcf43_12h,BTC_LONG_6e6fadb75ad48781_2d,BTC_LONG_721f882d099afd18_3d,BTC_LONG_724dd62221db474d_1d,BTC_LONG_7633d7a44ab2b4b5_3d,BTC_LONG_774a2fa3bbfb3bcf_3d,BTC_LONG_7959fffc20283c3d_3d,BTC_LONG_7e8a41a51ae079da_3d,BTC_LONG_7f23a3dead14afdf_1d,BTC_LONG_7fefaf095239c223_12h,BTC_LONG_81c364516a41a911_2d,BTC_LONG_82eb18af626016be_12h,BTC_LONG_845287272ef90cce_1d,BTC_LONG_8a7646dc5ccbd0f9_1d,BTC_LONG_8a84f7adec6f2c5d_12h,BTC_LONG_8c198db3ea178cb2_2d,BTC_LONG_8d4a1327987b861e_12h,BTC_LONG_8d967f7e7ca4eab1_2d,BTC_LONG_8f4cb2e57d3d016e_3d,BTC_LONG_9044a6d8eaac417b_1d,BTC_LONG_94dd72fe1d374b6a_12h,BTC_LONG_978f94cff6100d1d_2d,BTC_LONG_986eab606b120088_2d,BTC_LONG_9bf33e9f6e490f1f_2d,BTC_LONG_9d731ebe50ebbe65_3d,BTC_LONG_a1079e0a77d7f501_3d,BTC_LONG_a18389afb4e8507e_2d,BTC_LONG_a5c815ef1d70fee7_12h,BTC_LONG_a67a467959c6c593_2d,BTC_LONG_a7a53d44b1d1b10b_2d,BTC_LONG_a7dad690be812564_3d,BTC_LONG_a800262f87cb7ffd_3d,BTC_LONG_a864e0a32e9d3bfb_2d,BTC_LONG_a92d11c420091618_3d,BTC_LONG_aad29e2812bcd407_2d,BTC_LONG_ac1d6d98aba0a2cd_2d,BTC_LONG_ac6867f81c702dfd_1d,BTC_LONG_ac861e14bae89319_1d,BTC_LONG_ad3c541b70ce7c4c_3d,BTC_LONG_b16e26d3230fb605_1d,BTC_LONG_b69cfade287b0e6b_12h,BTC_LONG_b7542b0106e09467_1d,BTC_LONG_bc16b6bea9830967_2d,BTC_LONG_bc8cc20c800b4673_3d,BTC_LONG_c1626e74d2f236cc_2d,BTC_LONG_c5f939c61dde6693_1d
BTC_LONG_00496e0a18c5c27f_12h,1.0,-0.1097492508096674,0.05768449672512998,0.003346473291161854,0.292408212369515,0.000680995188576714,0.10791455439119339,-0.06173630110337307,0.04349298556454794,0.17561097675474993,0.12416129114100137,-0.016828727663831325,-0.07678342104907271,0.06987738069810703,0.002500225161933978,0.16873341740605527,-0.021888650418524513,0.3108295751051475,0.033182237476217985,0.04045673024014611,0.03383921746508105,-0.009088107240303338,-0.09115911069351895,-0.020925835993869473,0.06898998176219345,-0.0458340601100419,0.148290441701397,-0.02156438246352479,0.14937132718354612,0.0750061379992774,-0.030182054808671865,-0.023366280500634933,0.40739061875322574,-0.010651714196825368,0.03688455723654189,0.2013287361786561,-0.07856735696459084,-0.0017291474558321623,0.033241558959732936,0.008972237255234048,0.07237718784183364,-0.15909844246263552,0.005566059190168429,0.0632722147324666,-0.04088464211558542,-0.008133674763325322,-0.0852740960437669,0.20381566746213894,0.16322345420696815,0.0174685840828219,0.04953694759474603,-0.01703318831222342,-0.016029916911817557,0.010696557646986876,0.09271609888941276,0.05081365207119853,0.0459390618458993,0.046439392474692476,-0.011404673463695772,-0.04487952131327821,-0.05210763379076832,0.03170568258445707,0.15621103216246035,0.23799651958339013,-0.022616051090991338,0.06551789473799696,0.004937750395752603,0.16246286417647382,0.2835889519907633,0.07037906388530274,0.2508366359291053,-0.04111926818350964,-0.06550824325273391,0.048163552797752036,-0.1130202327888882,0.03894189561973542,-0.033988671191412655,-0.07541568357003957,-0.15220112283199771,0.061374849039776976,-0.025348265124185542,0.23213618177710538,0.04102423849567521,0.06281012973787474,-0.030548939215164442,-0.05814749673052602,0.07674040973813069,0.07980330012878438,0.030258088677035982,0.09366266406161972,0.2282429581091924,0.17229917760406674,-0.018920380035929208,0.24924521586864068,0.23677290683499524,0.2534276498753722,0.036435328742720825,-0.004732234804726795,-0.03998684331676099,0.11776620945492476
BTC_LONG_022fc44040f52195_3d,-0.1097492508096674,1.0,0.013717637935518641,0.033020610882399756,-0.10665427755566761,0.0810214394079963,0.023003404740856333,0.04455134211830783,0.07241269999631376,0.043132172225087785,0.03506713585084354,0.034024769657597674,0.0773338923098043,-0.03353967302054601,-0.05687377608972219,0.02425362269999398,-0.00537722418528523,-0.07284577347876407,0.07457866861433052,0.11634870370772936,-0.004155206844781345,0.06297911523532325,0.12193422443552138,0.07555887480081085,0.04073991323665932,0.08054813617381233,0.03231137873350798,0.03492865142568037,0.04480889946289164,0.04777523750683286,0.08254060626576928,0.04078555577934908,0.015584447952368241,0.1297445825873766,0.017280657147605592,-0.0014248821472001765,0.09061377673717164,0.13318835863007,0.033840599863917575,0.11624672832742043,0.019039088476040054,0.06648645183524868,-0.010403739980043599,0.08162205250863612,-0.048748176045359574,0.026396705139876946,-0.02650049722800161,0.030202254516672866,0.1030931348351008,0.014139073126895952,0.03332716106836599,-0.021289064631570664,0.10519906349918419,0.029089057257261255,0.1345298212625773,0.16840068651244666,0.04820478131357097,0.04839433587806804,-0.022644355955722173,0.05800737617512624,0.32381203661292607,0.08106850743774997,0.047480014895275896,-0.1289560254361362,0.05525737099636285,-0.04916557963459029,-0.10421326743615686,0.0280324329025665,-0.057243526284209645,0.013091248496170846,0.012665299959780127,0.07865818317164572,0.10468667932570058,0.11868641299425095,0.06826223337344318,0.09436219762444904,0.12194286272666781,-0.05507453086215267,0.06530171501246994,0.1109765709215126,0.0067573956912801506,-0.04473987281093734,0.1114206983143137,0.08042102010021834,0.14513436802442176,0.12644504204297044,0.07871688675121004,0.17795314174401777,0.08851747774104314,0.07689345641837343,-0.0040531803203487145,0.04445063039050609,0.018527446432268214,-0.028635242526654902,-0.15521536650802506,0.11475627079363913,0.05125349540563875,-0.04686425449084969,-0.017466372182905913,0.11250102831721245
BTC_LONG_023dd7bb9d6ce9ce_2d,0.05768449672512998,0.013717637935518641,1.0,0.11901281597714027,0.1445153054462054,0.20986957028804681,0.1430075284701883,0.224630432959998,0.09233219823214421,0.2504901191565858,0.09432234266045583,0.02605131313220147,0.21182948125105674,0.14409766512126826,0.1681143723808556,0.06099281853326504,0.14412116949465215,0.0414069665625241,0.23006272328756605,0.023167919624875216,0.08773064985188218,0.0864840778360079,0.012857918751440977,0.12404418385712267,0.07344628577824977,0.22818803892434292,0.09229579683805399,0.017167504229716832,0.01001600686795161,0.09577759678293639,0.007930211053402829,0.09415197681284555,0.0759863953734581,0.051249537181688454,0.035315052980975474,0.12362605452067864,0.07927437922628311,0.038342272555399584,0.022660517878629143,0.2237195946941383,0.1039695677901235,0.049786283635702686,0.16830023025050306,0.1577962465907247,0.13205412112803086,0.17194371964069716,0.03811374892687414,0.100798467703327,0.09012361343029418,-0.026957317212563336,0.07432410250920139,0.12266273086498643,0.13365811915112602,0.2607485042893944,0.18282130214844594,0.1706167168877788,0.01576168460562064,0.05087254004425687,0.0584019722660019,0.08394646656737388,0.05067995835423614,0.005108488316452522,-0.0030906620742673454,0.04736515681066921,0.08980560880419708,-0.07354252511506688,0.03361863932311673,0.1256189911607544,0.04667945661487945,0.08821175864297177,-0.1125331914824115,0.14835281085939225,0.08858403209469784,0.0338979538308185,0.03128636559604406,0.14621470752541862,0.2351476943079122,0.09702553285536777,0.023969467253488273,0.05898042150956174,0.14944917130212929,0.023011484416425566,0.22475400450567198,0.11069164218765588,0.06930858627742453,0.08240798462007327,0.23245038119912648,-0.1144423490896963,0.15153984328624617,0.2878087708656501,0.024670160248694683,0.04826841629219476,0.13760755218990567,0.2049014108303313,0.021018975709061066,0.1336828181665434,0.2070607224944236,-0.05501347361535935,-0.081790322063939,0.11984826379368989
BTC_LONG_044d4841e5e18788_2d,0.003346473291161854,0.033020610882399756,0.11901281597714027,1.0,-0.006874975372907506,0.37145241899062,0.08189300040255483,0.1793405253242129,0.02602423013491807,0.04218346832086451,0.0126355627280606,0.030181542112065425,0.044908180987858926,0.03905348628661172,0.20685939183814486,0.015682659605594212,0.04587038545049298,-0.05719132657193209,0.06724243260795688,0.00014481582943648582,0.004599823789944181,0.02203640420677862,0.07443551843123833,0.015153008285614491,0.022405589651337227,0.2209033449124409,0.03377050105922194,0.035821513240862704,0.04749337164029246,0.08027791022807411,-0.02048074745578158,-0.01416490975063904,-0.00889194951896176,0.06631345820215646,-0.00947899147310113,0.02747127331442987,0.0322393181150981,0.0004902822757001198,0.045120340798337794,0.07102001067475473,0.16684073470301278,-0.03561566984502797,0.01107776688758966,-0.005105792137101678,-0.004888001976576029,0.10776010174758956,-0.013999473702577944,0.0162451429168849,8.022076229430265e-05,0.0036875387341164536,0.0662164740141629,0.057307255287712744,0.06479221298105348,0.06457281880343958,0.08090176172453342,0.04754341742495274,-0.015858851717479597,0.07770447193416292,0.01924521002106668,0.04436384243757219,0.0005654018566545884,0.033616106971913404,-0.0008463073271827896,0.021640923217381074,0.14318349236301256,-0.011718773810673148,0.005154430858471311,0.056957989554163875,-0.02394286225018903,0.04151461526269494,0.015042123143887714,0.07273199444301068,0.05045187830759081,0.036597957679649164,0.03218926303621968,0.1793936461542565,0.0779094888928216,-0.051240615002993734,0.06150581129018895,-0.008860128262803095,0.08383366358731523,-0.003661222511279292,0.07681705622257368,0.13475196687915506,0.08375061986341087,0.08722243408506998,-0.09306988686389478,0.032401891932036325,0.030061760464864164,0.09042085869467896,0.016190271470057888,0.011598978371641715,0.08731314615311549,-0.016778442345398634,0.007720967788365235,-0.004519993527291364,0.001608407203400812,-0.00521362041466782,0.15215707256375563,0.036805560802671174
BTC_LONG_06bafab89a238836_12h,0.292408212369515,-0.10665427755566761,0.1445153054462054,-0.006874975372907506,1.0,-0.11621407867645894,0.16275388514417405,0.04535023203990736,0.03678090417392327,0.10103466738173301,0.13863507257713584,0.04373249579762376,-0.04821845883849746,0.08334729173820755,0.11936728263524328,0.20628968448277762,-0.08704631761893568,0.14452844505172238,-0.032193062527012685,0.00797365949698681,0.05121706485263856,-0.002754746363038831,-0.12471613863363462,-0.030440591127977437,0.017757103554344924,-0.043285820833997325,0.044197382024340905,0.04470823358594706,0.051156402382431576,0.012310512489175718,-0.04020380487888021,-0.020170778836007014,0.17288201373691753,-0.04230755277876968,0.02659939004137475,0.2638600725649205,-0.06734124223866039,-0.01132068423846133,-0.12396962605432434,0.024117897198371437,0.004808821605071943,-0.024577369400651146,0.13292466584024684,0.026448783282410272,0.035005150141204915,0.06428261808953808,-0.011416882209477957,0.1283966139614322,-0.015279333840554927,0.16842497493656336,0.012010416236936246,0.010944449867744503,-0.0186873528217295,-0.13097712803103917,-0.005407431664651759,-0.009105866870106224,-0.009456519130613218,-0.14037905026221364,0.09602500440962454,0.05179520765797244,-0.03999997871831855,0.03253355444201336,0.19762279530551388,0.1610094949564393,-0.14459322157503832,0.025244506168633964,0.38365259415156305,0.008879236347556134,0.309201247879553,0.14223299260980438,0.007629528155429831,0.07547215500233748,-0.05673845089079786,0.10702559600763638,-0.10866703305175479,-0.17267357347931167,0.1725424307780378,0.12670318209234482,-0.05492402236837495,0.0813619651955584,-0.1782602303265334,0.2202477525903363,0.12318517252298669,-0.09227370533516602,-0.04773033823559647,-0.03650605051714957,0.08238425646755218,-0.017530131708069083,0.0051709123757473895,0.08325872484010922,0.34137038329953406,0.0493641011892595,-0.055157191125586764,0.23472525696341762,0.10673873633679803,0.03648661781882746,-0.01056582660216104,0.012124375544436631,-0.09566107046910839,-0.003891248924629193
BTC_LONG_0777fdef3d9cb3fe_2d,0.000680995188576714,0.0810214394079963,0.20986957028804681,0.37145241899062,-0.11621407867645894,1.0,0.08297629984024325,0.25716803661327486,0.09016667503711133,0.05612709247653598,-0.0007068954685771249,-0.005953117059937447,0.09948776278124362,0.12820739077913165,0.17082715070054486,-0.02079932106784671,0.03532210064765855,-0.046037045606513345,0.1867064806924756,0.15118029256381893,-0.017369503182161437,0.04351824639180497,0.10641341004341656,0.2241171998412253,0.12770518782865228,0.27102928765085255,0.04240499480558239,0.011401153034354692,-0.005518210385539285,0.05877500297270801,0.036807181223532465,0.18444835951677777,0.009679959813064952,0.036920756730020335,0.011194592030492785,-0.0597731022450156,-0.04190989556628033,0.03550479372045471,0.22969027199915962,0.13646368126582215,0.054701820746865665,0.04600251743431492,0.04332865861821158,0.13829842120046307,0.039978948560147796,0.1331107990374357,0.15697320924226174,-0.03337001953205109,0.04484470173948934,0.027986152322654747,-0.03135020823477427,0.14280261056146537,0.09876573639826615,0.08107603852886928,0.05178228844006527,0.10690715270376323,0.05948019220122071,0.0797822110905402,0.07109388502366212,0.11421390148306228,0.11160843043045791,-0.001517818810272909,0.004663360056410093,-0.06211638027138932,0.1416530452298468,-0.058941735259705925,-0.06951820907801577,0.04513660138553878,0.029514004410300082,-0.01711190454154253,0.037978696972010444,0.2678617026864593,0.06772432043247155,0.021569106707101635,-0.04783561078482555,0.2644882880120657,0.26518049978909725,-0.01883030209794533,0.059531249372727954,0.06229960735835076,0.1567325172153202,0.09064762547614656,0.2037298623808642,0.1922337004707297,0.10867939424495818,0.03193026294389808,0.1994209420352199,0.023918370903055864,0.10394478867640575,0.15626573448488656,0.005267569823672975,-0.0342762538481046,0.06313100407198624,-0.09866154954308709,0.013200747234510982,0.10998795207338727,0.3130683926433892,0.046979941337671596,0.16232686383573597,0.06418294401437243
BTC_LONG_09ea97ee62d22743_2d,0.10791455439119339,0.023003404740856333,0.1430075284701883,0.08189300040255483,0.16275388514417405,0.08297629984024325,1.0,0.04668563934263852,0.0005590021399515507,0.1671349341094853,0.10606721067617718,0.07611516970743101,0.0025805752389197584,0.03888751986488348,0.07856029005196215,-0.016557721245932435,-0.0848397125189617,0.04130756860122831,0.11420057935524792,-0.10820370965832518,-0.0789081854986848,0.025284535837558787,-0.04384973052057425,0.174243437408865,-0.05193282085940089,0.08048776503829379,0.05345931540775833,0.04160261876598394,-0.019250790622178056,0.14873390087127228,-0.03293164531054606,0.09237667906806864,0.0401476577508975,-0.00869891347820136,0.022997896420465083,0.10275922966970484,0.10915826809494132,0.035226631941713354,0.022822873119214892,0.01690059463442334,0.12213399589769318,-0.08302115585319034,0.1733803144332833,0.14337861831378318,-0.028151991065205145,-0.0850246544847868,-0.06428768483477071,0.14078560822465097,0.07289225586909243,0.0007477947018498915,0.08341094743774526,0.1014784788878673,0.06847622053183804,0.030985951576101484,0.0724598085165582,-0.02522931094450326,-0.058455820802110516,-0.0675969495058914,0.04796064472732813,0.006441212672202943,0.04691840877846689,0.048936614056303285,0.03002933890363518,0.016620289605515474,-0.030996919433038395,-0.02761182829399853,0.019590237879928876,0.06614920654569523,0.009660815736360401,0.08755661277260414,0.07730788262423091,0.13022719632520482,0.06939062590544125,0.1144402689545194,0.06218716773887572,0.1396951350028881,0.043004410693956975,-0.08205700450132676,0.006262769781207691,-0.005863993652489993,-0.01337292999329634,0.028044282203601906,0.1662419964407321,0.023959323543170215,0.01468468187266993,0.018988872969001834,-0.03689292933080697,0.020589642832215253,0.0690274024702277,0.05689379298342498,0.05298196568153377,-0.014201520880448813,0.15164216880101072,0.09034351349109734,-0.02595941978348913,0.06125564661827042,0.023172331765957465,-0.020844429220406264,0.04858957863005301,-0.014636670243349508
BTC_LONG_0c7f2f1a3357a313_2d,-0.06173630110337307,0.04455134211830783,0.224630432959998,0.1793405253242129,0.04535023203990736,0.25716803661327486,0.04668563934263852,1.0,0.08834531090454076,0.11762359961066557,-0.036193302311084,0.1582167079913984,0.263916004290356,0.07253407036008627,0.09949927033824442,0.014515343675357185,0.1593694442796126,-0.012662257551031623,0.1742193313971312,-0.003501730611680434,0.12102750533542038,0.08481371736882251,0.03154974034277412,0.06420039566494991,0.04671003335981291,0.3916102032226026,0.13390459497439305,0.09539166588594852,0.014454523452094508,0.048433780162483814,-0.021884859862630338,0.16356249517173344,-0.08009497057147093,0.015012913043246152,0.02931501068838245,-0.005430860314823571,0.05406049998023138,0.015888628726571524,0.27032031803693946,0.38323069998813825,0.12506907991209507,0.1552823427313242,0.12733143125984395,0.1631965028858047,0.15073540160880008,0.1666295099759805,0.09557945855787217,0.04475630512271578,0.05065753876138982,0.022858341527514998,0.03193287895936976,0.19506573280622064,0.21936679854724994,0.1904382081018959,0.13423425656422422,0.19071033988492817,0.06942049235053013,0.005964902062718517,0.19497606925522817,0.1575635282021084,0.02545877448099359,0.10628170045327667,-0.12473528395151769,0.005901259639072981,0.310663160588592,-0.15348057026207065,0.06284462282077678,0.07340830459241028,-0.13873855191306722,0.12775733966768615,-0.05300885257427458,0.2762849754146164,0.10618169061197606,-0.018036261813498662,0.042954810204769205,0.1391200291146209,0.1187468125261984,0.141144303871374,0.14683465153494032,0.1846916731117089,0.16728451120406793,-0.016726788192999425,0.16397063630420458,0.06398323453321195,0.05566053820445919,0.08489254288865522,0.1317715791716904,-0.17820736571608686,0.23485570805815772,0.1583373157003633,-0.028554106306024635,-0.036096295742096024,0.10198922845457961,-0.028984547049770666,-0.07385051789103364,-0.0025872897966416875,0.21402114458730961,0.1551868722937611,0.13372023521650134,0.0749132149960105
BTC_LONG_0fd6615935a42929_12h,0.04349298556454794,0.07241269999631376,0.09233219823214421,0.02602423013491807,0.03678090417392327,0.09016667503711133,0.0005590021399515507,0.08834531090454076,1.0,0.06476419070766212,0.09735250450093373,0.07227840135894481,0.17901206507011982,0.008728500209275793,0.011036535518140812,0.10253394095479962,0.1441832695479353,0.18749996177591116,0.06457620057546093,0.013723398714407392,0.1310806834527952,0.04305279177839271,-0.10041369883240814,0.17667832999735839,0.05690706383600074,0.0709114181793707,0.208093968591231,0.05854273329673352,0.045456927055643644,0.2199047567397675,0.1035879572546853,0.11409543821442751,-0.07302021022078373,0.015520222347455719,0.16595250905785353,0.058125067726150635,0.1773521620929494,0.04854947899080783,0.08603914148468382,-0.013159407879168012,-0.06330683571254851,0.019133465370078206,0.031067502534820893,0.1802358133320989,0.16453209469396504,0.06285837423330255,-0.007422699265977704,0.190014094571748,0.05507157978461064,-0.012803880878578557,0.16300423143017698,0.11358050643740698,0.050726721344821,0.03577525965625008,0.3112116521699143,0.1045411286714191,-0.008112414804554272,0.28746909457347275,0.023605204970001487,0.05274287808697942,0.1285702371663989,0.0878203379726894,0.04110000766016453,0.10467014535825668,0.08865265636302412,0.031894324297905584,0.06259989822743421,0.22588645321105358,-0.015671516827183398,0.14894518423057723,0.01420420127477292,0.07339731056747822,0.09738503114348467,0.09592272413808363,0.09785214226307581,0.13035402788942085,0.047332836192752824,0.11916673244233114,0.07586512807561202,0.109448046688449,0.11657683234579798,0.09142800907185675,0.20386680189889644,0.16612837490787355,0.09391864397171344,0.005562807019239029,0.14969287017530164,0.1074219040726285,0.13190711981509878,0.01517699958417511,0.09969359271417992,-0.002297860306970998,0.06249601870012401,0.03429855685935978,-0.03630523700405462,0.1540316518467204,0.010529441760131212,0.07783607421151996,0.11923422395742717,0.1685325153899179
BTC_LONG_110acf71418c051c_1d,0.17561097675474993,0.043132172225087785,0.2504901191565858,0.04218346832086451,0.10103466738173301,0.05612709247653598,0.1671349341094853,0.11762359961066557,0.06476419070766212,1.0,0.19328730465991995,0.02730300864461324,0.08433018869391712,0.05357032515479315,0.08103495335049361,0.07027671993331376,0.1261567350802671,0.11587677794044231,0.11871496720996283,0.02365791232042884,0.02847147944747422,-0.03700051066715386,0.02589366064793883,0.04827747911888301,0.04450703040977659,0.13074637396080846,0.22405020886883203,0.12702018743035925,0.16397686194675434,0.10175271888772446,0.0278126314339427,-0.033869928098783815,0.06927340730555555,-0.05452196457199493,0.14866394300196623,0.11890358941472036,0.17460860878908457,-0.05345274699627785,-0.018387366538506766,0.08967038171460559,0.039289761744486076,-0.005995541750536978,0.0700516157033506,0.04794880410853264,0.06045636619528507,0.12322580145441996,-0.048999064593658104,0.23006738657986403,0.17362181175425764,0.009643449861323981,0.19789065802908537,0.013729547331568856,0.08000309962525527,0.11575722513346386,0.1982790133060657,0.13438640680713246,-0.03297926236079183,0.14217915062730832,0.11024104441099146,0.00553700564993283,-0.0007626285104815871,0.03890716073763428,0.07935380466644584,0.09299818337684339,0.09489178932339512,0.06144388191813116,0.11646053621518637,0.2448820951080176,0.06695846797163016,0.05253658382749934,0.014106747593334181,0.028041598316164536,0.015685501360456516,0.09999366359422614,0.05248221269381864,0.052814036048744586,0.08571696928851151,-0.0664608856804925,0.024464788561389412,0.020693522833730875,0.03694469687016692,0.06455417881804597,0.11206999701704903,0.09898297735367904,0.05683291803572947,0.015402404966118256,0.0729366534153157,-0.08060599001860298,0.17626090819200668,0.16066597137851335,0.20109819406062449,0.04672920830617414,0.11485830851368913,0.2767369113552094,0.030911291382095005,0.2415482530172273,0.012398287800144658,-0.023716528499027105,-0.005784136714841821,0.2164453079246248
