factor_id,0,1,2,3,4,5,6
BTC_LONG_aad29e2812bcd407_2d,0.02705307116240674,0.23829362299326357,0.6998978469265051,0.1397420254538349,0.5988827708664388,0.5009231014444214,0.03385441426262542
BTC_LONG_8a7646dc5ccbd0f9_1d,0.3867631661633073,0.16079818303036514,0.3466552008192656,0.06551099270908906,0.4518959183797262,0.12359973503146393,0.08123185197805594
BTC_LONG_a18389afb4e8507e_2d,0.6595028844617519,0.05915640396888944,0.4498997289847267,-0.05868629797150826,0.43107456821599577,-0.012853147508321894,0.17833207674843243
BTC_LONG_774a2fa3bbfb3bcf_3d,-0.1508119948953715,-0.00944539585208548,0.7254639670157981,0.2541105545742141,0.1856981321826497,0.31113262583595885,0.3973189698926075
BTC_LONG_a67a467959c6c593_2d,0.2548998485449752,0.12453191325058866,0.5863232869983646,0.18423340759667844,0.1609016666969903,0.4201588866885735,-0.0344155792462546
BTC_LONG_69d7c8d06b8ae442_3d,0.649426977374609,-0.05232993748615239,0.8491834868252864,0.30902034989508026,-0.26807744484394247,0.2077276714428793,0.11572308038186274
BTC_LONG_18736382b197243b_3d,0.5763974553649243,-0.1925150578066061,0.1326597695096613,0.41896250670191526,0.2154922117409782,0.11705075235232387,0.4372122750093381
BTC_LONG_6e133e86c2c01d4b_3d,0.13961653594831552,0.26307427838124653,0.44346675753398956,0.19816437029726058,-0.11528894785558425,0.524105703169307,0.07445008350611726
BTC_LONG_bc8cc20c800b4673_3d,0.5073514418964065,0.2107559310415955,0.2806656261617618,0.023072407349334967,0.23136552227182056,0.23213136644272359,0.06353149775644884
BTC_LONG_5740defe528d6e16_2d,0.38864275964897377,-0.033383794761411734,0.3496087563091124,0.1415247618620522,0.504150870289926,0.16926285061439295,-0.03649309628188335
BTC_LONG_022fc44040f52195_3d,0.3062375891575836,0.06272259289863952,0.28823654486632905,0.1201410196075931,0.0007870190142976741,0.3386591794127582,0.41623178831360386
BTC_LONG_a800262f87cb7ffd_3d,0.31157236501015156,0.32739649993168524,0.34326424457671034,0.14499059356920385,-0.007080708555297466,0.12393323637033626,0.1647577025727624
BTC_LONG_665a553ed9e4f0c9_3d,0.6130360723607604,-0.1267213092632396,0.5166212315382489,0.2547294051540106,0.2509286335168387,0.024130534974406037,-0.06783964284091193
BTC_LONG_a7a53d44b1d1b10b_2d,0.28625398370566973,0.07071733919381146,0.09391947389268823,0.4487182241591028,0.37833696644095804,0.33453465138498656,-0.0850162593203358
BTC_LONG_32790d4266a3dbf2_2d,0.22609288647962544,-0.28026365118127167,0.3986007790079952,-0.06042047004393769,0.2991265855937846,0.5830087743784403,0.19555753666401815
BTC_LONG_81c364516a41a911_2d,0.21155555731164316,-0.26428184244829317,0.6327538437227213,0.1510059486558652,0.15293489347784422,0.3095529346946355,0.16626184797363658
BTC_LONG_7fefaf095239c223_12h,0.3909517066758654,0.02980140779409357,0.21966645364202553,-0.1240301700822368,0.2658879491546075,0.283334177856614,0.23452011725426597
BTC_LONG_ad3c541b70ce7c4c_3d,0.23369281103038403,0.14940452523178566,0.3493591035317189,0.19601990825099003,0.36789077654487085,0.29693965428107666,-0.17188476403068714
BTC_LONG_6e6fadb75ad48781_2d,0.14199468287609535,-0.012391226823224633,0.43229518161191044,0.09370912943320098,0.13694236604063897,0.2163564539373396,0.31256069943863013
BTC_LONG_978f94cff6100d1d_2d,-0.07652584376030674,-0.07990091529222909,0.32100495052636946,0.13326122370326682,0.18093215071565982,0.5097659635721659,0.4451189202220342
