factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr,lineage_hash,orientation,threshold_q95,components,weights,positive_selection_folds,worst_selection_fold_return,positive_selection_years,top_one_selection_profit_share,top_five_selection_profit_share,development_candidate,historically_stable_candidate,core_candidate,tier,mechanism,input_fields,latest_availability,validation_signal_redundancy,selection_signal_redundancy,cross_stage_signal_redundancy,cagr_absolute_gap,mean_gross_bp_absolute_gap,rank_signal_redundancy,rank_cagr_gap,rank_mean_gross_bp_gap,rank_selection_trades,scheme5_rank_sum,scheme5_final_rank,scheme5_selected
BTC_LONG_5b55989455e686eb_2d,441884,2d,5.0,99,3,-87.5434474624213,0.0162721101317173,34,25.403101050493284,0.3977643690885453,1.6272616700926512,-0.1283051931462896,3.1001423974712123,146.19899955698165,0.0191000208792569,178,51.59880952380952,0.210404712000054,0.8212607527523642,-0.2970933704261684,0.7082107274835416,49.40764062649005,2.0312012073347856,0.210404712000054,5b55989455e686eb,-1,1.252689003944397,(x_flow_price_gap*x_close_location)|(x_flow_mean_12*m1_return_efficiency_5)|(x_flow_mean_72*x_return_efficiency_288),0.5|-1|-0.5,6,-0.1945877920294517,4,0.0512302800052468,0.2335831899257816,True,True,True,核心,主动流与价格响应,m1_return_efficiency_5|x_close_location|x_flow_mean_12|x_flow_mean_72|x_flow_price_gap|x_return_efficiency_288,m1_feature_available_time <= decision_time,0.06546238844244152,0.0722743553880948,0.0722743553880948,0.18735965708849128,96.7913589304916,1.0,1.0,1.0,1.0,4.0,1,True
BTC_LONG_546aae11ff7d6499_2d,408333,2d,5.0,99,4,24.62262350804256,0.0101947328195988,27,20.173050834215257,0.5364014555529453,1.5748425618521806,-0.1313067860212478,4.085100791867268,239.008229199872,0.0036802976621002,92,26.669047619047618,0.3432253914958521,1.3130097944442105,-0.2041878560118438,1.68092950383858,126.90767422022044,1.322013603109282,0.3432253914958521,546aae11ff7d6499,-1,2.024625301361084,tanh(x_return_sign_bias_288)|(x_flow_mean_12*x_return_sum_288)|(x_flow_mean_72*x_return_efficiency_72),0.5|-1|-1,7,0.0036060891823357,4,0.0725211594952328,0.2786114374944033,True,True,True,核心,主动流与价格响应,x_flow_mean_12|x_flow_mean_72|x_return_efficiency_72|x_return_sign_bias_288|x_return_sum_288,m1_feature_available_time <= decision_time,0.11487503039252207,0.0839707941364165,0.11487503039252207,0.1931760640570932,112.10055497965156,3.0,2.0,2.0,4.0,11.0,2,False
BTC_LONG_8a7646dc5ccbd0f9_1d,670320,1d,5.0,99,4,186.9806315503969,0.0731046621823858,35,26.150251081390145,0.7500813245789624,1.9592848223933952,-0.130728356156095,5.737709450605609,236.28396574124568,0.0272656416385041,152,44.06190476190476,0.5451220504221299,1.7880513068155437,-0.2353341743283957,2.316374372646118,111.34572684942589,1.6849514991181658,0.5451220504221299,8a7646dc5ccbd0f9,-1,1.5660862922668457,x_flow_mean_288|tanh(m1_realized_vol_curve_5_15)|signed_sqrt(m1_flow_surprise_15),-0.5|1|0.5,7,0.065510992709089,4,0.0490775255065615,0.1922812215006221,True,True,True,核心,有符号波动与区间扩张,m1_flow_surprise_15|m1_realized_vol_curve_5_15|x_flow_mean_288,m1_feature_available_time <= decision_time,0.12870006956059304,0.08666771509070238,0.12870006956059304,0.20495927415683246,124.9382388918198,4.0,3.0,3.0,2.0,12.0,3,False
BTC_LONG_6e133e86c2c01d4b_3d,532860,3d,5.0,99,4,4.686534336521856,0.0522595521665128,32,23.90880098869956,1.1005339573593758,2.4455530626641457,-0.1385649566428505,7.942368575887398,336.41716095788496,0.0191270160100206,131,37.97440476190476,0.4906994873668917,1.4742301785027176,-0.2458599518117742,1.9958496036091395,121.60983060921012,1.5883023485725307,0.4906994873668917,6e133e86c2c01d4b,-1,2.0905404090881348,x_flow_mean_72|tanh(x_return_sign_bias_3)|tanh(x_time_sin_day),-1|1|-1,6,-0.1152889478555842,4,0.0650567081204582,0.2343156148224822,True,True,True,核心,复合市场状态,x_flow_mean_72|x_return_sign_bias_3|x_time_sin_day,m1_feature_available_time <= decision_time,0.09368909956977255,0.05064115395156479,0.09368909956977255,0.609834469992484,214.80733034867484,2.0,4.0,4.0,3.0,13.0,4,False
