factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr
BTC_LONG_743f64123cf5aa59_1d,562709,1d,5.0,95,3,-11.249479035865013,0.06938563039242103,129,96.3823539856951,1.2628905232082333,2.2319730360048915,-0.24276440486928919,5.202123943533679,97.80248604226942,0.0011962372307354123,507,146.96964285714284,-0.02099139656431459,0.12681237688039246,-0.5732409404335289,-0.03661880211912164,8.183387071591294,1.5248604830605799,-0.02099139656431459
BTC_LONG_5ac7f75bf91a81ca_1d,439268,1d,5.0,99,3,-29.168157620237388,0.08452656116161585,22,16.43730067973095,0.6227873870206178,1.5397323802067802,-0.1947390442642698,3.198061227903875,333.47449883076905,0.06165452878850694,36,10.435714285714285,0.11973486565593805,0.7961658103322622,-0.07299644254713611,1.640283573800483,124.44886358381972,0.6348800505050505,0.11973486565593805
BTC_LONG_3db5d6d355c1f47a_1d,298319,1d,5.0,99,3,-55.50172363647386,0.09144421705937308,22,16.43730067973095,0.5274122590531756,1.395390840399656,-0.15316166792907637,3.4435003626194582,295.80118114092244,0.059632160263901564,59,17.10297619047619,0.07320086317743613,0.5681871108374379,-0.16891719861910037,0.43335352335850846,52.05045289176347,1.040497860549944,0.07320086317743613
BTC_LONG_bdbf1b3c7b72942c_1d,919710,1d,5.0,97,3,-37.09230320502924,0.05105689972801031,99,73.96785305878927,0.3699750208815462,1.3088298978401904,-0.2692693174436266,1.3739962071950624,52.3367567378122,0.001158352270172834,434,125.80833333333334,-0.0985533233160214,-0.17174261565317972,-0.45654623365199176,-0.21586712593744656,0.6975336478499622,1.7008514933283452,-0.0985533233160214
BTC_LONG_c5384017ac052099_1d,955790,1d,5.0,99,3,48.52859631462441,0.031342086342378665,41,30.633151266771314,0.3296138947651641,1.7055810849327198,-0.0777580006488563,4.238970807051123,102.95387490273012,0.005039992654558624,198,57.39642857142857,-0.02097252761258328,0.03633993154341755,-0.4326637864257076,-0.048473036733302985,6.5520911910885244,1.8736703929539296,-0.02097252761258328
BTC_LONG_ae8aa8d84b5efcc8_1d,846121,1d,5.0,95,4,33.28447284120817,0.05536308666533208,120,89.65800370762337,1.4674923863503073,2.6098310313506894,-0.1766027447273254,8.309567264178794,113.38241143349725,-0.012964741201384179,483,140.0125,0.21021908319295335,0.7013060716783055,-0.5528365442265789,0.380255403497341,23.48915021797297,1.5616285686728393,0.21021908319295335
BTC_LONG_b8be476e31b5ac81_1d,895532,1d,5.0,95,3,-54.44055793265678,0.05423524806458761,103,76.95645318237672,0.10235635476214378,0.5022522878261406,-0.31879820941568904,0.3210694155081616,22.095542238775284,-0.030221773833859433,401,116.2422619047619,-0.1591192501991605,-0.4478873876927226,-0.5783151657846606,-0.27514279343386544,-6.243256797518336,1.5104940144432457,-0.1591192501991605
BTC_LONG_3cd945806cc1e41e_1d,294062,1d,5.0,99,4,15.741577379011758,0.0164417964576978,45,33.62175139035876,0.3882361626094075,1.8481603908578994,-0.1191667154314825,3.2579245068865927,107.61752376068043,0.020403179804425974,202,58.55595238095238,0.21579959454192266,0.9717247565092955,-0.2763369211717104,0.7809292859850204,42.68507434891776,1.7416092249657062,0.21579959454192266
BTC_LONG_618010b07f5aeded_1d,471852,1d,5.0,95,3,-111.01468983062857,0.04784845278634881,76,56.78340234816146,0.5680523227727692,1.3286498679519805,-0.30591428314050206,1.856900295537593,97.3683356027332,0.048980942552010194,408,118.27142857142857,0.2228989007900728,0.807713358651439,-0.31396144527705827,0.7099562833053388,25.94435150851654,2.0828520955165692,0.2228989007900728
BTC_LONG_774a2fa3bbfb3bcf_1d,577815,1d,5.0,95,3,-69.38904208730007,0.029110362419500175,131,97.87665404748883,0.3641989055346897,0.9387822092193632,-0.5221342641127397,0.6975196430626349,46.468291914639096,0.007853471933266607,398,115.37261904761904,0.03841658431142947,0.280954274193064,-0.558117960033258,0.06883237426930365,13.441693111265877,1.178755242201489,0.03841658431142947
BTC_LONG_0bd8fa2249cfb7f7_1d,57304,1d,5.0,99,3,43.10246170419793,0.01736207530100762,22,16.43730067973095,0.16607129656029596,1.2941184453746644,-0.054728086299220324,3.034480242051911,103.06682612387652,0.03334533993174539,177,51.308928571428574,-0.018951239764872452,0.013707375623078633,-0.3678739334560607,-0.051515581946324586,5.56333640759303,3.1214935816498315,-0.018951239764872452
BTC_LONG_7833ce95dee6dc63_1d,582129,1d,5.0,97,3,-28.833971485974875,0.0178005127388391,105,78.45075324417044,0.7617373195076487,1.8493545446622286,-0.14430401231595424,5.278698126839478,84.21592764947353,0.025227085406700052,444,128.70714285714286,-0.047137581174932164,0.025024330052897083,-0.5736775075129716,-0.08216738595746029,5.652605376220543,1.6406106701940033,-0.047137581174932164
BTC_LONG_08115a49150b44a2_1d,39054,1d,5.0,95,3,-3.9681897138969195,0.0608000154959836,106,79.1979032750673,0.07442451757120638,0.38922947616545034,-0.30759033772318967,0.24195986818735307,28.23748303496955,0.01434408010376495,502,145.52023809523808,0.27821125885886167,0.9069731472352371,-0.3644155701286691,0.7634450382035813,25.591009213336605,1.8374253872583273,0.07442451757120638
BTC_LONG_c2e76e566accca2b_1d,944681,1d,5.0,97,3,-33.350792312723414,0.04271311750149668,62,46.3233019156054,0.5117095047507718,1.617350057160636,-0.1837094622323041,2.785428134908508,102.45402771603344,0.016554761822510686,321,93.05178571428571,0.2023195526891386,0.7466734174012606,-0.3094032653017087,0.6539024482881606,29.882782861307557,2.0087468264635606,0.2023195526891386
BTC_LONG_1a18cc95e5440427_1d,126172,1d,5.0,99,3,-6.069053294143751,0.06571910999232145,27,20.173050834215257,0.7618083234798618,1.7455993816382318,-0.14002130290598647,5.4406601543434965,315.51271032566393,0.032338094493314484,111,32.176785714285714,0.19158985006135776,0.9844117943255024,-0.1662109335593981,1.1526910171218676,65.51745578678242,1.5950381515775034,0.19158985006135776
